Name;Year;semester;CFU;group;optional;passed;tot;18;19;20;21;22;23;24;25;26;27;28;29;30
Computer-aided simulations lab;2;1;8;0,00;3;28;74;2;1;0;0;1;3;0;1;1;1;2;5;10
Data management and visualization;1;1;8;0,00;No;180;229;26;10;7;7;3;10;9;20;14;22;17;18;7
Data science lab: process and methods;1;1;8;0,40;No;179;274;7;10;10;12;13;13;17;12;24;14;10;14;23
Computational linear algebra for large scale problems;1;1;8;0,00;1;56;75;0;0;0;0;0;1;2;5;2;2;13;4;27
Statistical methods in data science;1;1;8;0,00;1;135;208;21;16;10;7;5;10;4;4;6;11;13;9;19
Decision making and optimization;1;1;8;0,00;2;48;88;5;3;2;0;3;0;6;5;1;4;2;3;14
Information Theory for Data Science;1;1;8;0,00;2;31;43;3;0;0;0;0;1;1;0;0;3;9;5;9
Numerical optimization for large scale problems and Stochastic Optimization;1;1;8;0,00;2;80;140;3;0;0;3;1;1;0;3;10;8;14;12;25
Object oriented programming;1;2;8;0,00;2;163;351;7;10;0;10;8;9;10;10;10;16;23;17;32
Data Ethics and Data Protection;1;2;6;0,00;No;135;241;16;10;11;16;12;13;15;12;9;8;10;3;0
Distributed architectures for big data processing and analytics;1;2;8;0,00;No;174;225;17;4;4;5;2;9;4;6;7;14;12;19;44
Machine learning and Deep learning;1;2;10;0,80;No;203;301;13;0;5;7;5;8;9;12;10;22;27;28;57
Mathematics in Machine Learning;1;2;8;0,00;No;115;280;8;15;9;11;9;9;8;6;7;6;4;9;14
Innovation Management;2;1;6;0,60;No;99;136;10;4;12;9;7;11;4;8;7;9;7;3;8
Network Dynamics and Learning;2;1;8;0,00;3;53;84;3;0;1;4;0;3;4;5;3;4;6;9;11
Time dependent data with Markov chains;2;1;8;0,00;3;9;16;2;0;0;1;1;0;2;0;0;1;1;1;0
Deep natural language processing;2;1;8;0,60;4;62;91;5;1;1;4;1;1;2;4;4;3;8;6;22
Machine learning for IOT;2;1;8;0,60;4;60;75;2;4;1;2;3;3;2;6;2;4;2;5;24
Applied data science project;2;1;12;1,00;5;26;33;0;0;0;0;0;0;0;0;0;0;1;9;16
Challenge;2;1;8;0,00;5;;;;;;;;;;;;;;;
Free ECTS credits;2;2;8;0,00;5;;;;;;;;;;;;;;;
BioQuants;2;1;8;0,00;6;20;28;18;0;0;2;0;0;1;0;2;2;5;5;2
Cloud Computing;2;1;6;0,00;6;116;177;3;4;5;5;9;12;13;11;10;7;7;7;13
Computational intelligence;2;1;6;0,00;6;85;117;0;0;1;1;2;1;2;2;4;4;5;0;63
Financial Engineering;2;1;8;0,00;6;7;42;0;1;1;0;1;0;0;1;1;2;0;0;0
Human Computer Interaction;2;1;6;0,00;6;155;199;0;0;0;0;0;0;0;0;3;6;27;27;92
Information systems;2;1;6;0,00;6;112;160;3;1;3;6;5;12;11;10;13;14;9;9;16
Information systems security;2;1;6;0,00;6;188;325;40;12;14;21;10;19;18;8;11;13;13;4;5
Metodi quantitativi per la gestione del rischio;2;1;8;0,00;6;35;48;1;1;3;0;4;6;3;6;3;3;1;1;3
Modelli matematici per la Biomedicina;2;1;8;0,00;6;42;63;0;0;0;0;0;2;4;2;5;1;7;6;15
Internship;2;0;12;0,00;6;;;;;;;;;;;;;;;
Web Application I;2;1;6;0,00;6;118;175;1;0;3;1;1;1;2;6;4;7;12;14;66
