Name;Year;semester;CFU;optional;succ_prob;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Computer-aided simulations lab;2;1;8;No;28/46;0;0;0;2;1;0;0;1;3;0;1;1;1;2;5;10
Data management and visualization;1;1;8;No;59/170;0;0;0;26;10;7;7;3;10;9;20;14;22;17;18;7
Data science lab: process and methods;1;1;8;no;179/95;0;0;0;7;10;10;12;13;13;17;12;24;14;10;14;23
Computational linear algebra for large scale problems;1;1;8;1;;;;;;;;;;;;;;;;;
Statistical methods in data science;1;1;8;1;;;;;;;;;;;;;;;;;
Decision making and optimization;1;1;8;2;;;;;;;;;;;;;;;;;
Information Theory for Data Science;1;1;8;2;;;;;;;;;;;;;;;;;
Numerical optimization for large scale problems and Stochastic Optimization;1;1;8;2;;;;;;;;;;;;;;;;;
Object oriented programming;1;2;8;2;;;;;;;;;;;;;;;;;
Data Ethics and Data Protection;1;2;6;No;;;;;;;;;;;;;;;;;
Distributed architectures for big data processing and analytics;1;2;8;No;;;;;;;;;;;;;;;;;
Machine learning and Deep learning;1;2;10;No;;;;;;;;;;;;;;;;;
Mathematics in Machine Learning;1;2;8;No;;;;;;;;;;;;;;;;;
Innovation Management;2;1;6;No;;;;;;;;;;;;;;;;;
Object oriented programming;2;1;8;3;;;;;;;;;;;;;;;;;
Network Dynamics and Learning;2;1;8;3;;;;;;;;;;;;;;;;;
Time dependent data with Markov chains;2;1;8;3;;;;;;;;;;;;;;;;;
Deep natural language processing;2;1;8;4;;;;;;;;;;;;;;;;;
Machine learning for IOT;2;1;8;4;;;;;;;;;;;;;;;;;
Applied data science project;2;1;12;5;;;;;;;;;;;;;;;;;
Challenge;2;1;8;5;;;;;;;;;;;;;;;;;
Free ECTS credits;2;2;8;5;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
